category,emoji,ja,reading,ru,en
food,🥪,roasted たまご,roasted-tamago [roasted-tamago],тамаго (roasted),egg (roasted)
food,🍡,roasted 抹茶,roasted-matcha [roasted-matcha],маття (roasted),matcha (roasted)
food,🍣,照り焼き,teriyaki [teriyaki],тэриёки,teriyaki
food,🍙,照り焼き,teriyaki [teriyaki],тэриёки,teriyaki
food,🍮,抹茶,matcha [matcha],маття,matcha
food,🍘,牛丼,gyuudon [gyudon],гюдон,gyudon
food,🥟,steamed ご飯,steamed-gohan [steamed-gohan],гохан (steamed),rice (steamed)
food,🥘,fresh たこ焼き,fresh-takoyaki [fresh-takoyaki],такояки (fresh),takoyaki (fresh)
food,🍡,fried おにぎり,fried-onigiri [fried-onigiri],онигири (fried),onigiri (fried)
food,🍵,with_sauce おにぎり,with_sauce-onigiri [with_sauce-onigiri],онигири (with_sauce),onigiri (with_sauce)
food,🍡,grilled たこ焼き,grilled-takoyaki [grilled-takoyaki],такояки (grilled),takoyaki (grilled)
food,🥪,sweet 抹茶,sweet-matcha [swet-matcha],маття (sweet),matcha (sweet)
food,🍵,cold 味噌汁,cold-misoshiru [cold-misoshiru],мисосиру (cold),miso soup (cold)
food,🍵,steamed ラーメン,steamed-raamen [steamed-ramen],ра́мен (steamed),ramen (steamed)
food,🥪,grilled ラーメン,grilled-raamen [grilled-ramen],ра́мен (grilled),ramen (grilled)
food,🍩,ご飯,gohan [gohan],гохан,rice
food,🥮,牛丼,gyuudon [gyudon],гюдон,gyudon
food,🥘,steamed ラーメン,steamed-raamen [steamed-ramen],ра́мен (steamed),ramen (steamed)
food,🍶,with_sauce 刺身,with_sauce-sashimi [with_sauce-sashimi],сашими (with_sauce),sashimi (with_sauce)
food,🍰,そば,soba [soba],соба,soba
food,🍶,spicy そば,spicy-soba [spicy-soba],соба (spicy),soba (spicy)
food,🍮,刺身,sashimi [sashimi],сашими,sashimi
food,🍜,cold 抹茶,cold-matcha [cold-matcha],маття (cold),matcha (cold)
food,🍢,sweet そば,sweet-soba [swet-soba],соба (sweet),soba (sweet)
food,🥘,steamed うどん,steamed-udon [steamed-udon],удон (steamed),udon (steamed)
food,🍜,with_sauce ご飯,with_sauce-gohan [with_sauce-gohan],гохан (with_sauce),rice (with_sauce)
food,🍡,刺身,sashimi [sashimi],сашими,sashimi
food,🍶,和菓子,wagashi [wagashi],вагаси,wagashi
food,🍱,fried うどん,fried-udon [fried-udon],удон (fried),udon (fried)
food,🥪,spicy お好み焼き,spicy-okonomiyaki [spicy-okonomiyaki],okonomiyaki (spicy),okonomiyaki (spicy)
food,🥘,roasted ラーメン,roasted-raamen [roasted-ramen],ра́мен (roasted),ramen (roasted)
food,🥟,sweet 和菓子,sweet-wagashi [swet-wagashi],вагаси (sweet),wagashi (sweet)
food,🧋,with_sauce お弁当,with_sauce-obento [with_sauce-obento],обэнто (with_sauce),bento (with_sauce)
food,🍵,味噌汁,misoshiru [misoshiru],мисосиру,miso soup
food,🍛,牛丼,gyuudon [gyudon],гюдон,gyudon
food,🍮,cold 寿司,cold-sushi [cold-sushi],суши (cold),sushi (cold)
food,🍶,うどん,udon [udon],удон,udon
food,🍘,spicy おにぎり,spicy-onigiri [spicy-onigiri],онигири (spicy),onigiri (spicy)
food,🍰,fresh 刺身,fresh-sashimi [fresh-sashimi],сашими (fresh),sashimi (fresh)
food,🍣,cold そば,cold-soba [cold-soba],соба (cold),soba (cold)
food,🍶,そば,soba [soba],соба,soba
food,🍱,刺身,sashimi [sashimi],сашими,sashimi
food,🍙,刺身,sashimi [sashimi],сашими,sashimi
food,🍛,roasted お弁当,roasted-obento [roasted-obento],обэнто (roasted),bento (roasted)
food,🧋,grilled 味噌汁,grilled-misoshiru [grilled-misoshiru],мисосиру (grilled),miso soup (grilled)
food,🍡,餃子,gyoza [gyoza],гёдза,gyoza
food,🍣,fresh 焼き鳥,fresh-yakitori [fresh-yakitori],якитори (fresh),yakitori (fresh)
food,🍙,ラーメン,raamen [ramen],ра́мен,ramen
food,🍙,steamed そば,steamed-soba [steamed-soba],соба (steamed),soba (steamed)
food,🥢,sweet 牛丼,sweet-gyuudon [swet-gyudon],гюдон (sweet),gyudon (sweet)
food,🍙,たまご,tamago [tamago],тамаго,egg
food,🍶,カレー,karee [kare],карэ,curry
food,🥘,sweet うどん,sweet-udon [swet-udon],удон (sweet),udon (sweet)
food,🍰,grilled 焼き鳥,grilled-yakitori [grilled-yakitori],якитори (grilled),yakitori (grilled)
food,🍩,たまご,tamago [tamago],тамаго,egg
food,🍰,spicy たまご,spicy-tamago [spicy-tamago],тамаго (spicy),egg (spicy)
food,🍡,with_sauce 焼き鳥,with_sauce-yakitori [with_sauce-yakitori],якитори (with_sauce),yakitori (with_sauce)
food,🍩,mini 抹茶,mini-matcha [mini-matcha],маття (mini),matcha (mini)
food,🥢,sweet お好み焼き,sweet-okonomiyaki [swet-okonomiyaki],okonomiyaki (sweet),okonomiyaki (sweet)
food,🍩,餃子,gyoza [gyoza],гёдза,gyoza
food,🍶,cold うどん,cold-udon [cold-udon],удон (cold),udon (cold)
food,🍶,steamed 寿司,steamed-sushi [steamed-sushi],суши (steamed),sushi (steamed)
food,🍜,cold 刺身,cold-sashimi [cold-sashimi],сашими (cold),sashimi (cold)
